group_id,word,part_of_speech,meaning_en,meaning_th,examples,synonyms,antonyms,word_forms,difficulty,frequency
7,Demography,Noun,The study of statistics relating to the changing structure of human populations.,ประชากรศาสตร์,Demography is a key field for understanding social trends.<br>The report provides a detailed demography of the population.<br>We need to use demography to plan for the future., - , - ,demographic, advanced,low
7,Deprivation,Noun,The damaging lack of material benefits considered to be a basic necessity in a society.,"การขาดแคลน, ความอดอยาก",Poverty and social deprivation are linked.<br>The report focused on material deprivation in the city.<br>Sleep deprivation can have a negative impact on health., - , - , - , advanced,high
9,Dermatology,Noun,The branch of medicine concerned with the diagnosis and treatment of skin disorders.,ผิวหนังวิทยา,She consulted a dermatologist for her persistent skin rash.<br>Dermatology is a popular specialization in medicine.<br>The clinic offers a range of dermatology services., - , - , dermatological, advanced,low
9,Diabetes,Noun,A metabolic disease in which the body's inability to produce any or enough insulin causes elevated levels of glucose in the blood.,โรคเบาหวาน,She has to monitor her blood sugar levels because of her diabetes.<br>Type 2 diabetes is often linked to obesity.<br>Diet and exercise can help manage diabetes., - , - ,diabetic, advanced,high
9,Diagnose,Verb,To identify the nature of an illness or other problem by examination of the symptoms.,วินิจฉัยโรค,The doctor will diagnose the patient based on their symptoms.<br>It took a while for them to diagnose his condition.<br>Early diagnosis is crucial for effective treatment., - , - , - , advanced,high
9,Diagnosis,Noun,The identification of the nature of an illness or other problem by examination of the symptoms.,การวินิจฉัยโรค,A correct diagnosis is the first step toward treatment.<br>The doctor's diagnosis was that she had a common cold.<br>Getting a clear diagnosis can be a relief., - , - , - , advanced,high
9,Dialysis,Noun,The process of separating waste products from the blood of patients with kidney disease.,การฟอกไต,He has to undergo dialysis three times a week.<br>Dialysis can be a life-saving treatment for kidney failure.<br>The patient is on a waiting list for a kidney transplant while on dialysis., - , - ,dialyze, advanced,low
3,Dichotomous,Adjective,Divided into two parts.,แบ่งเป็นสองส่วน,"The education system is often seen as dichotomous, separating students into academic and vocational tracks.<br>The test has dichotomous questions.<br>The research reveals a dichotomous result.", - , - ,dichotomy, advanced,low
3,Dichotomy,Noun,A division or contrast between two things that are or are represented as being opposed or entirely different.,การแบ่งเป็นสองส่วน,The dichotomy between theory and practice is often discussed in education.<br>There is a clear dichotomy in his thinking.<br>The film explores the dichotomy of good and evil., - , - ,dichotomous, advanced,low
3,Didactic,Adjective,"Intended to teach, particularly in having moral instruction as an ulterior motive.","เกี่ยวกับการสอน, ที่ให้คำสั่งสอน",The professor's didactic style was very effective for teaching complex subjects.<br>The book is a didactic novel.<br>His didactic approach often came across as condescending., - , - ,didactics, advanced,low
3,Didactically,Adverb,In a manner that is intended to teach.,อย่างเป็นเชิงสอน,He presented the information didactically.<br>The book is written didactically to help the reader learn.<br>The teacher speaks didactically to her students., - , - ,didactic, advanced,low
3,Didacticism,Noun,The tendency to give instruction or to moralize.,ลัทธิการสอน,The novel was criticized for its excessive didacticism.<br>His speeches are full of didacticism.<br>The film avoids overt didacticism in favor of subtlety., - , - ,-,advanced,low
3,Differentiated,Adjective,Recognized as or made different.,ที่แตกต่าง,The teacher used a differentiated approach to teaching.<br>The company offers a differentiated product.<br>The students are grouped into differentiated levels., - , - , differentiation,intermediate,high
3,Differentiated instruction,Phrase,A teaching approach that tailors instruction to meet individual student needs.,การสอนที่ปรับตามความแตกต่างของผู้เรียน,Differentiated instruction helps teachers address diverse learning styles.<br>The teacher used differentiated instruction to challenge high-achievers.<br>This strategy is a key part of modern pedagogy., - , - ,-,advanced,medium
13,Digital,Adjective,"Relating to, or using, computers and the internet.",ดิจิทัล,The world is becoming increasingly digital.<br>He prefers to read digital books over printed ones.<br>We are in the midst of a digital revolution., - , - , - ,intermediate,high
7,Disaster,Noun,"A sudden event, such as an accident or natural catastrophe, that causes great damage or loss of life.",ภัยพิบัติ,The earthquake was a natural disaster.<br>The government responded quickly to the disaster.<br>We must prepare for future disasters., - , - , - , intermediate,high
7,Disaster-prone,Adjective,(Of an area) likely to be affected by natural disasters.,มีแนวโน้มที่จะเกิดภัยพิบัติ,"The region is disaster-prone, with frequent floods and earthquakes.<br>Living in a disaster-prone area requires careful preparation.<br>The government is providing assistance to disaster-prone communities.", - , - ,-, advanced,low
3,Discipline,Noun,The practice of training people to obey rules or a code of behavior.,"ระเบียบวินัย, สาขาวิชา",Good discipline is essential for a productive learning environment.<br>She is studying a new discipline called computational biology.<br>The teacher maintains strict discipline in the classroom., - , - , - ,intermediate,high
7,Discrimination,Noun,The unjust or prejudicial treatment of different categories of people.,การเลือกปฏิบัติ,The law was created to prevent discrimination based on race or gender.<br>Discrimination in the workplace is illegal.<br>We must fight against all forms of discrimination., - , - , - , advanced,high
7,Disenfranchise,Verb,To deprive (someone) of the right to vote.,ตัดสิทธิ์,The new law will disenfranchise a large number of voters.<br>Many people feel disenfranchised by the political system.<br>The movement aims to empower the disenfranchised., - , - , disenfranchisement, advanced,low
9,Disinfect,Verb,To cleanse with a disinfectant to destroy bacteria.,ฆ่าเชื้อโรค,It's important to disinfect all surfaces to prevent the spread of germs.<br>The hospital room was disinfected after the patient left.<br>She disinfected the wound with an antiseptic wipe., - , - , - , intermediate,high
7,Displace,Verb,To force (someone) to leave their home or native land.,ทำให้ต้องพลัดถิ่น,The war has displaced millions of people.<br>Rising sea levels will displace coastal populations.<br>The conflict has displaced many families., - , - , - , intermediate,high
7,Displacement,Noun,The action of moving something or someone from their place or position.,การพลัดถิ่น,The conflict has caused the displacement of thousands of people.<br>Climate change is leading to climate displacement.<br>The report focused on the displacement of populations due to rising sea levels., - , - , - , advanced,high
3,Dissonance,Noun,Lack of agreement or harmony between people or things.,ความไม่สอดคล้อง,The cognitive dissonance he felt was unsettling.<br>There was a dissonance between what she said and what she did.<br>The political dissonance in the country is growing., - , - ,dissonant, advanced,low
2,Diversify,Verb,To make or become more varied.,กระจายความเสี่ยง,The company needs to diversify its products to attract more customers.<br>She decided to diversify her investments.<br>Many people want to diversify their skills to get a better job., - , - , - ,intermediate,medium
13,Download,Verb,"To copy data from one computer system to another, typically over the Internet.",ดาวน์โหลด,I need to download the file from the website.<br>You can download the app for free.<br>He downloaded a new song onto his phone., - , - , - ,intermediate,high
7,Drought-resistant,Adjective,(Of a plant) able to withstand prolonged periods of dry weather.,ทนแล้ง,Farmers are planting drought-resistant crops.<br>The new species of plant is drought-resistant.<br>Drought-resistant agriculture is key in arid regions., - , - ,drought, advanced,low
3,Eclectic,Adjective,"Deriving ideas, style, or taste from a broad and diverse range of sources.","ผสมผสาน, หลากหลาย","His teaching style is eclectic, drawing from many different philosophies.<br>The library has an eclectic collection of books.<br>Her taste in music is quite eclectic.", - , - ,eclecticism, advanced,low
5,Eco-friendly,Adjective,Not harmful to the environment.,เป็นมิตรกับสิ่งแวดล้อม,The company uses eco-friendly packaging.<br>He drives an eco-friendly car.<br>We need to find more eco-friendly solutions., - , - , - , intermediate,high
5,Ecological,Adjective,Relating to or concerned with the relation of living organisms to one another and to their physical surroundings.,เกี่ยวกับนิเวศวิทยา,The new policy aims to protect the ecological balance of the forest.<br>He has a strong interest in ecological issues.<br>We need to find an ecological solution to the problem., - , - , - ,intermediate,high
5,Ecology,Noun,The branch of biology that deals with the relations of organisms to one another and to their physical surroundings.,นิเวศวิทยา,He is studying the ecology of the Amazon rainforest.<br>The course covers basic principles of ecology.<br>She is a professor of human ecology., - , - , ecologist,advanced,medium
7,Economic downturn,Phrase,A general slowdown in economic activity.,เศรษฐกิจตกต่ำ,The country is facing a severe economic downturn.<br>An economic downturn can lead to higher unemployment.<br>The government is trying to prevent a major economic downturn., - , - , - , advanced,high
7,Educate,Verb,"To give intellectual, moral, and social instruction to (someone), typically at a school or university.",ให้การศึกษา,Education is key to empowering people to tackle global challenges.<br>The program aims to educate young people about climate change.<br>We need to educate the public about the importance of recycling., - , - , - , intermediate,high
3,Efficacy,Noun,The ability to produce a desired or intended result.,ประสิทธิภาพ,The efficacy of the new teaching method is still being researched.<br>The study tested the efficacy of the drug.<br>She has great self-efficacy in her abilities., - , - , - , advanced,high
5,Effluent,Noun,Liquid waste or sewage discharged into a river or the sea.,น้ำเสียที่ปล่อยออก,The factory was fined for discharging untreated effluent.<br>The river is polluted with industrial effluent.<br>We need to control the effluent from the plant., - , - ,-,advanced,low
3,Elucidate,Verb,To make something clear; explain.,อธิบายให้ชัดเจน,The professor tried to elucidate the complex theory.<br>Can you elucidate your point further?<br>He used examples to elucidate the concept., - , - ,elucidation, advanced,low
7,Emigration,Noun,The act of leaving one's own country to settle permanently in another.,การอพยพออก,Many people are considering emigration due to political instability.<br>The country has a high rate of emigration.<br>Emigration can lead to a 'brain drain' of skilled workers., - , - , emigrate, advanced,low
5,Emission,Noun,"The production and discharge of something, especially gas or radiation.","การปล่อย, ก๊าซเรือนกระจก",The factory's harmful emissions are polluting the air.<br>Countries are working to reduce carbon emissions.<br>Vehicle emission standards have become stricter., - , - , - ,intermediate,high
7,Emissions,Noun,"The production and discharge of something, especially gas or radiation.",การปล่อยก๊าซ,The factory's emissions are contributing to air pollution.<br>We must reduce carbon emissions to fight climate change.<br>The new car has very low emissions., - , - ,emit, intermediate,high
5,Emissions trading,Phrase,A system for controlling pollution by providing economic incentives for achieving reductions in the emissions of pollutants.,การค้าการปล่อยก๊าซเรือนกระจก,The government is considering implementing an emissions trading system.<br>Emissions trading is a market-based approach to pollution control.<br>He is an expert on emissions trading., - , - ,-,advanced,low
3,Empathy,Noun,The ability to understand and share the feelings of another.,ความเห็นอกเห็นใจ,Teachers need to have empathy for their students.<br>Empathy is a key trait of a good leader.<br>She has a strong sense of empathy for others., - , - , empathetic,intermediate,medium
3,Empirical,Adjective,"Based on, concerned with, or verifiable by observation or experience rather than theory or pure logic.","เชิงประจักษ์, จากการทดลอง",The study's findings are based on empirical evidence.<br>He relied on empirical data to support his argument.<br>The research used an empirical approach., - , - , - , advanced,high
3,Empiricism,Noun,The theory that all knowledge is derived from sense-experience.,ประสบการณ์นิยม,His philosophy is based on empiricism.<br>Empiricism is the foundation of modern science.<br>The study of human behavior is rooted in empiricism., - , - ,-,advanced,low
3,Empowerment,Noun,Authority or power given to someone to do something.,การให้อำนาจ,The school aims to foster student empowerment through leadership programs.<br>The movement advocates for the empowerment of women.<br>This policy leads to local empowerment., - , - , - , intermediate,high
13,Encryption,Noun,"The process of converting information or data into a code, especially to prevent unauthorized access.",การเข้ารหัส,The files are protected by strong encryption.<br>The company uses encryption to secure its emails.<br>Encryption is a vital part of cybersecurity., - , - ,advanced,high,
5,Endangered,Adjective,(of a species) seriously at risk of extinction.,ใกล้สูญพันธุ์,The giant panda is an endangered species.<br>Habitat loss is a major threat to endangered animals.<br>The government has a list of endangered species., - , - , - , advanced,high
3,Enrich,Verb,To improve or enhance the quality or value of something.,เสริมสร้าง,Reading can enrich your vocabulary.<br>The program is designed to enrich the lives of young children.<br>Travel can enrich your understanding of different cultures., - , - , enriched,intermediate,medium
3,Enrollment,Noun,The action of enrolling or being enrolled.,การลงทะเบียนเรียน,Student enrollment has increased significantly this year.<br>The university has a high enrollment rate.<br>They are holding an open house to boost new enrollment., - , - , - ,intermediate,high
2,Entrepreneur,Noun,"A person who sets up a business or businesses, taking on financial risks in the hope of profit.",ผู้ประกอบการ,He is a successful entrepreneur who started his business from scratch.<br>The government is offering support to young entrepreneurs.<br>Being an entrepreneur requires a lot of hard work and dedication., - , - , - ,intermediate,medium
5,Environmental,Adjective,Relating to the natural world and the impact of human activity on its condition.,เกี่ยวกับสิ่งแวดล้อม,He is very concerned about environmental issues.<br>The new law has a positive environmental impact.<br>Environmental protection is everyone's responsibility., - , - ,5, intermediate,high
5,Environmental impact,Phrase,The effect of human activity on the environment.,ผลกระทบต่อสิ่งแวดล้อม,The project's environmental impact will be significant.<br>The company is required to conduct an environmental impact assessment.<br>We need to minimize our environmental impact., - , - ,-,intermediate,high
5,Environmentalist,Noun,A person who is concerned with or advocates for the protection of the environment.,นักสิ่งแวดล้อม,She is a dedicated environmentalist.<br>The protest was organized by local environmentalists.<br>He has been a strong environmentalist for years., - , - ,environmentalism, intermediate,high
9,Epidemiology,Noun,"The branch of medicine that deals with the incidence, distribution, and possible control of diseases and other factors relating to health.",ระบาดวิทยา,He is a specialist in epidemiology and public health.<br>The study of epidemiology helps us understand how diseases spread.<br>Epidemiology played a crucial role during the pandemic., - , - ,epidemiologist, advanced,low
3,Epistemological,Adjective,Relating to the theory of knowledge.,เกี่ยวกับญาณวิทยา,The debate took on an epistemological dimension.<br>His work has an epistemological focus.<br>She is interested in epistemological questions., - , - ,epistemology, advanced,low
3,Epistemology,Noun,"The theory of knowledge, especially with regard to its methods, validity, and scope.",ญาณวิทยา,Epistemology is a core part of philosophy and education.<br>He is studying the epistemology of science.<br>The course covered the fundamentals of epistemology., - , - ,-,advanced,low
3,Equitability,Noun,The quality of being fair and impartial.,"ความยุติธรรม, ความเสมอภาค",The policy was designed to ensure equitability in resource allocation.<br>The group's decision-making process is known for its equitability.<br>They are seeking equitability in education., - , - , - , advanced,high
3,Equitable,Adjective,Fair and impartial.,"ที่เป็นธรรม, เสมอภาค",The goal is to create a more equitable education system.<br>They are working to ensure an equitable distribution of resources.<br>Everyone deserves equitable access to healthcare., - , - , equity,advanced,high
9,Eradication,Noun,"The complete destruction of something, especially a disease.",การกำจัดให้สิ้นซาก,The eradication of smallpox was a major public health achievement.<br>We are working towards the eradication of poverty.<br>Vaccination is key to the eradication of many diseases., - , - , eradicate, advanced,low
5,Erosion,Noun,"The process of eroding or being eroded by wind, water, or other natural agents.",การกัดเซาะ,Soil erosion is a serious problem in farming areas.<br>The coastal erosion has damaged many homes.<br>We must find ways to prevent land erosion., - , - , - , intermediate,high
3,Evaluation,Noun,"The making of a judgment about the amount, number, or value of something; assessment.",การประเมินค่า,Student evaluations of the course are very important.<br>The committee performed an evaluation of the project.<br>A fair evaluation should be objective., - , - ,evaluate, advanced,high
7,Exacerbate,Verb,"To make a problem, bad situation, or negative feeling worse.",ทำให้แย่ลง,The new policy could exacerbate the problem of inequality.<br>Lack of food will only exacerbate the humanitarian crisis.<br>His comments exacerbated the tension between the two groups., - , - , exacerbation, advanced,low
5,Exhaustible,Adjective,(of a supply or resource) capable of being used up.,ที่ใช้หมดไปได้,Fossil fuels are exhaustible resources.<br>The planet's resources are not inexhaustible.<br>We need to be careful with our exhaustible resources., - , - , exhaustion,intermediate,high
3,Experiential learning,Phrase,"The process of learning through experience, and is more specifically defined as 'learning through reflection on doing'.",การเรียนรู้จากประสบการณ์,"The program focuses on experiential learning, with students working on real projects.<br>Experiential learning is a powerful teaching method.<br>The school trip was a form of experiential learning.", - , - ,-,advanced,medium
7,Exploit,Verb,To make full use of and derive benefit from (a resource).,ใช้ประโยชน์จาก,Companies often exploit cheap labor in developing countries.<br>We must exploit renewable energy sources to combat climate change.<br>The technology was designed to exploit a new market., - , - , - , intermediate,high
5,Extinct,Adjective,"(of a species, family, or other group of animals or plants) having no living members.",สูญพันธุ์,The dodo bird is an extinct species.<br>We are trying to save several endangered animals from becoming extinct.<br>Many dinosaurs are extinct., - , - , - , intermediate,high
5,Extinction,Noun,"The state or process of a species, family, or other group of animals or plants dying out.",การสูญพันธุ์,The extinction of the dinosaurs is a well-known event.<br>We are facing a mass extinction of species.<br>The loss of habitat can lead to extinction., - , - , - , intermediate,high
3,Extracurricular,Adjective,(of an activity at a school or college) taken in addition to the normal curriculum.,นอกหลักสูตร,Joining extracurricular activities can enhance your college application.<br>He is very involved in extracurricular clubs.<br>The school offers a wide range of extracurricular sports., - , - ,-,intermediate,medium
3,Extracurriculars,Noun,Activities that are not part of the normal curriculum.,กิจกรรมนอกหลักสูตร,She participates in many extracurriculars like sports and drama.<br>Getting involved in extracurriculars can make you a more well-rounded person.<br>The school offers a variety of extracurriculars., - , - ,curriculars, intermediate,medium
3,Extramural,Adjective,"Outside the walls or boundaries of a city, university, etc.",นอกมหาวิทยาลัย,The university offers extramural courses for non-students.<br>He is an extramural student.<br>The team played an extramural match., - , - ,-,advanced,low
7,Extremism,Noun,The holding of extreme political or religious views.,ลัทธิสุดโต่ง,The rise of political extremism is a global concern.<br>The government is trying to combat extremism.<br>Extremism can lead to violence and conflict., - , - , extremist, advanced,low
3,Facilitate,Verb,To make an action or process easy or easier.,อำนวยความสะดวก,"The teacher's role is to facilitate learning, not just lecture.<br>The new software will facilitate communication among team members.<br>Technology can facilitate access to information.", - , - , facilitator,intermediate,high
3,Facilitator,Noun,A person who helps a group to work together more effectively.,ผู้อำนวยความสะดวก,"The teacher acts as a facilitator, guiding students in their own learning.<br>She was an excellent facilitator for the workshop.<br>A good facilitator makes sure everyone's voice is heard.", - , - ,facilitate, intermediate,medium
3,Faculty,Noun,A group of university departments concerned with a major division of knowledge.,"คณะ, คณาจารย์",She is a member of the university's arts faculty.<br>The faculty meeting will be held on Friday.<br>The faculty is highly respected in its field., - , - ,-,intermediate,high
7,Famine,Noun,Extreme scarcity of food.,ความอดอยาก,The country is on the brink of famine.<br>Famine is a direct result of drought and conflict.<br>International aid is being sent to prevent a widespread famine., - , - , - , intermediate,high
5,Fauna,Noun,"The animals of a particular region, habitat, or geological period.",สัตว์ที่อาศัยอยู่ในพื้นที่หนึ่ง,The fauna of the island is unique and diverse.<br>The report focused on the flora and fauna of the park.<br>The new law protects the native fauna., - , - ,flora, advanced,low
13,Fiber optics,Phrase,The use of thin flexible fibers of glass or plastic to transmit light signals.,ใยแก้วนำแสง,Fiber optics provides much faster internet speeds.<br>The city is installing a new fiber optics network.<br>The company is a leader in fiber optics technology., - , - ,-,advanced,low
2,Financing,Noun,The provision of money for a particular purpose.,การจัดหาเงินทุน,The project needs new financing to get off the ground.<br>The company is seeking financing from investors.<br>They secured financing from a bank., - , - , - ,intermediate,medium
13,Firewall,Noun,A part of a computer system or network that is designed to block unauthorized access while permitting outward communication.,ไฟร์วอลล์,The company's firewall protects its network from cyberattacks.<br>You should have a firewall on your personal computer.<br>The firewall blocked the suspicious activity., - , - ,-,intermediate,high
3,Flexibility,Noun,The quality of bending easily without breaking.,ความยืดหยุ่น,The new schedule offers more flexibility for students.<br>Flexibility is a key characteristic of modern education.<br>He has a high degree of flexibility in his work hours., - , - , - ,intermediate,high
5,Flora,Noun,"The plants of a particular region, habitat, or geological period.",พืชในพื้นที่หนึ่ง,The flora of the Amazon rainforest is incredibly diverse.<br>The book describes the flora and fauna of the region.<br>He is an expert on the local flora., - , - ,fauna, advanced,low
7,Forecast,Noun,A prediction about how something will develop.,การพยากรณ์,The economic forecast for the next decade is uncertain.<br>The weather forecast predicts more rain.<br>The long-term forecast for the planet is a cause for concern., - , - ,forecast, intermediate,high
7,Foreign aid,Phrase,"Money, food, or other resources given or lent by one country to another.",ความช่วยเหลือจากต่างประเทศ,The country receives foreign aid from several nations.<br>Foreign aid can be a key tool in international relations.<br>There is a debate over the effectiveness of foreign aid., - , - ,-, advanced,high
7,Foresee,Verb,To be aware of beforehand; predict.,"คาดการณ์, พยากรณ์",Scientists foresaw the dangers of climate change decades ago.<br>It is difficult to foresee the long-term consequences of this policy.<br>The crisis was difficult to foresee., - , - ,foreseen, intermediate,high
3,Formative assessment,Phrase,Assessment that monitors student learning to provide ongoing feedback that can be used by instructors to improve their teaching and by students to improve their learning.,การประเมินเพื่อปรับปรุงการเรียนรู้,Teachers use formative assessment to adjust their lessons.<br>Quizzes can be used as a form of formative assessment.<br>Formative assessment is a key part of student-centered learning., - , - ,formative, advanced,medium
5,Fossil fuels,Phrase,"A natural fuel such as coal or gas, formed in the geological past from the remains of living organisms.",เชื้อเพลิงฟอสซิล,Burning fossil fuels releases a lot of carbon dioxide.<br>We need to move away from fossil fuels to renewable energy.<br>Coal and oil are common fossil fuels., - , - ,-,intermediate,high
2,Franchise,Noun,An authorization granted by a government or company to an individual or group enabling them to carry out specified commercial activities.,แฟรนไชส์,He bought a franchise to open a fast-food restaurant.<br>The company's franchise model is very successful.<br>Many famous brands operate on a franchise basis., - , - , - ,intermediate,medium
7,Fund,Verb,To provide with money for a particular purpose.,ให้เงินทุน,The project is funded by an international organization.<br>The government funds research into renewable energy.<br>We are fundraising to build a new school., - , - ,funding, intermediate,high
13,Gadget,Noun,A small mechanical or electronic device or tool.,"แกดเจ็ต, อุปกรณ์",He loves buying the latest electronic gadgets.<br>This kitchen gadget makes cooking much easier.<br>The spy used a high-tech gadget to open the door., - , - ,-,intermediate,high
9,Gastroenterology,Noun,The branch of medicine concerned with the digestive system and its disorders.,ทางเดินอาหารและตับวิทยา,He works in the gastroenterology department of the hospital.<br>A gastroenterologist can help with stomach issues.<br>Gastroenterology is a complex and important field., - , - ,gastroenterologist, advanced,low
7,Gender equality,Phrase,The state in which access to rights or opportunities is unaffected by gender.,ความเท่าเทียมทางเพศ,Gender equality is a fundamental human right.<br>We need to promote gender equality in the workplace.<br>Achieving gender equality is one of the UN's Sustainable Development Goals., - , - ,-, intermediate,high
7,Generate,Verb,To produce or create.,"สร้าง, ผลิต",Solar panels generate clean electricity.<br>The program is designed to generate jobs.<br>Burning fossil fuels generates a large amount of carbon dioxide., - , - , - , intermediate,high
9,Genetic,Adjective,Relating to genes or heredity.,เกี่ยวกับพันธุกรรม,The genetic makeup of an individual determines many traits.<br>Genetic factors can increase the risk of certain diseases.<br>Genetic engineering is a very interesting field., - , - , gene, advanced,low
7,Genetically modified,Adjective,(Of an organism or food) having had its genetic material altered.,ดัดแปลงพันธุกรรม,Genetically modified crops can increase food production.<br>There is an ongoing debate about the safety of genetically modified food.<br>Some people are concerned about genetically modified organisms., - , - ,-, advanced,low
9,Genetics,Noun,The study of heredity and the variation of inherited characteristics.,พันธุศาสตร์,Genetics has provided crucial insights into human diseases.<br>She is a professor of genetics at the university.<br>The project focuses on the genetics of a specific disease., - , - ,genetic, advanced,low
7,Genocide,Noun,The deliberate killing of a large number of people from a particular nation or ethnic group.,การฆ่าล้างเผ่าพันธุ์,The international community has a responsibility to prevent genocide.<br>Genocide is a crime against humanity.<br>The trial aims to bring justice for the victims of the genocide., - , - ,genocidal, advanced,low
7,Geopolitical,Adjective,"Relating to politics, especially international relations, as influenced by geographical factors.",ภูมิรัฐศาสตร์,The geopolitical landscape has become increasingly complex.<br>Geopolitical tensions can affect global trade.<br>The report analyzes the geopolitical risks of the region., - , - ,-, advanced,low
5,Geothermal,Adjective,Relating to or produced by the internal heat of the earth.,ที่เกี่ยวกับความร้อนใต้พิภพ,Geothermal energy is a clean and renewable power source.<br>The country is a leader in geothermal power.<br>They are building a new geothermal plant., - , - ,-,advanced,low
9,Geriatrics,Noun,The branch of medicine or social science dealing with the health and care of old people.,อายุรศาสตร์ผู้สูงอายุ,The hospital has a special geriatrics ward for elderly patients.<br>Geriatrics is a growing field due to the aging population.<br>A doctor specializing in geriatrics is very helpful for the elderly., - , - ,geriatric, advanced,low
13,Gigabyte,Noun,A unit of information equal to one billion bytes.,กิกะไบต์,My laptop has a 500-gigabyte hard drive.<br>The file size is 2 gigabytes.<br>The new phone comes with 128 gigabytes of storage., - , - ,-,intermediate,high
13,Gigaflop,Noun,A unit of computing speed equal to one billion floating-point operations per second.,กิกะฟลอป,The supercomputer is capable of thousands of gigaflops.<br>Gigaflops are used to measure the performance of a computer.<br>The new processor has a high gigaflop count., - , - ,-,advanced,low
5,Glacier,Noun,A slowly moving mass or river of ice formed by the accumulation and compaction of snow on mountains or near the poles.,ธารน้ำแข็ง,Glaciers are melting rapidly due to global warming.<br>The expedition explored the ancient glacier.<br>The glacier's retreat is a sign of climate change., - , - ,-,intermediate,high
7,Globalisation,Noun,The process by which businesses or other organizations develop international influence or start operating on an international scale.,โลกาภิวัตน์,Globalization has led to increased economic interdependence.<br>The internet has accelerated the pace of globalization.<br>Globalization has both positive and negative consequences., - , - ,globalize, intermediate,high
2,Globalization,Noun,The process by which businesses or other organizations develop international influence or start operating on an international scale.,โลกาภิวัตน์,Globalization has led to increased trade and cultural exchange.<br>The economic effects of globalization are widely debated.<br>Many people are concerned about the negative impacts of globalization., - , - , - ,intermediate,medium
7,Governance,Noun,The action or manner of governing a state or organization.,การปกครอง,Good governance is essential for a stable society.<br>The report recommends new standards of corporate governance.<br>Global governance is key to solving international problems., - , - ,govern, advanced,high
3,Grant,Noun,A sum of money given by an organization for a particular purpose.,"เงินช่วยเหลือ, เงินทุน",She received a grant to fund her research.<br>The student applied for a government grant to cover tuition fees.<br>The university awarded a grant for the new project., - , - ,grant,intermediate,high
7,Green energy,Phrase,"Energy that can be produced in a way that protects the natural environment, for example by using the sun, wind, or water.",พลังงานสีเขียว,Investing in green energy is crucial for a sustainable future.<br>The company is committed to using only green energy.<br>Green energy is becoming more affordable., - , - ,green, advanced,high
7,Greenhouse gas,Noun,A gas that contributes to the greenhouse effect by absorbing infrared radiation.,ก๊าซเรือนกระจก,Methane is a potent greenhouse gas.<br>We need to reduce the amount of greenhouse gases we release.<br>The international community has agreed to cut greenhouse gas emissions., - , - ,-, intermediate,high
2,Gross,Adjective,(Of a total) exclusive of any deductions.,รวมทั้งหมด,The company's gross profit before taxes was very high.<br>His gross income is more than his net income.<br>The gross margin is an important financial metric., - , - , - ,intermediate,medium
3,Guidance,Noun,Advice or information aimed at resolving a problem or difficulty.,"คำแนะนำ, การชี้แนะ",Students receive guidance from their academic advisors.<br>She provides guidance to her younger siblings.<br>The career counselor offers guidance on job choices., - , - , - ,intermediate,high
3,Guidance counselor,Noun,A person who provides students with advice about their academic or personal lives.,ครูแนะแนว,The guidance counselor helped me choose my university.<br>Students can meet with the guidance counselor to discuss their career plans.<br>She is a very helpful guidance counselor., - , - ,-,intermediate,high
3,Guideline,Noun,"A general rule, principle, or piece of advice.",แนวทาง,"The school has strict guidelines for student behavior.<br>Follow the guidelines to complete the project correctly.<br>These are just guidelines, not strict rules.", - , - ,-,intermediate,high
5,Habitat,Noun,"The natural home or environment of an animal, plant, or other organism.",ถิ่นที่อยู่,The polar bear's natural habitat is the Arctic.<br>Deforestation is destroying the habitat of many animals.<br>The park is a protected habitat for many birds., - , - ,-,intermediate,high
13,Hacker,Noun,A person who uses computers to gain unauthorized access to data.,แฮกเกอร์,The company hired an ethical hacker to test their security.<br>The hacker stole sensitive information from the company.<br>He was a famous computer hacker in the 1990s., - , - , hacking,intermediate,high
13,Hardware,Noun,The physical components of a computer system.,ฮาร์ดแวร์,I need to upgrade my computer's hardware.<br>The new software requires better hardware.<br>The hardware and software must work together perfectly., - , - , - ,intermediate,high
5,Hazardous,Adjective,Risky; dangerous.,ที่เป็นอันตราย,Hazardous waste must be disposed of properly.<br>The factory was cited for hazardous working conditions.<br>He works with hazardous chemicals., - , - , - , intermediate,high
2,Headquarters,Noun,The main administrative office of an organization.,สำนักงานใหญ่,The company's headquarters are located in New York City.<br>He was called to the headquarters for a meeting.<br>The global headquarters will be in London., - , - , - ,intermediate,medium
9,Heal,Verb,To become or make healthy again.,"รักษา, หาย",It may take a few weeks for your wound to heal completely.<br>Time can heal emotional wounds.<br>The medicine will help to heal the infection., - , - , healer, intermediate,high
9,Hereditary,Adjective,(Of a disease or characteristic) determined by genetic factors and therefore able to be passed on from parents to their offspring.,กรรมพันธุ์,Colour blindness is a hereditary condition.<br>There are many hereditary diseases in her family.<br>Hereditary traits are passed down through generations., - , - , - , advanced,low
3,Holistically,Adverb,In a holistic manner.,แบบองค์รวม,The school approaches each student holistically.<br>We need to think holistically about the problem.<br>The program addresses wellness holistically., - , - ,holistic, advanced,medium
7,Homelessness,Noun,The state of being without a home.,การไร้ที่อยู่อาศัย,Homelessness is a major social problem in many cities.<br>The charity provides shelter for the homeless.<br>The government is implementing programs to address homelessness., - , - ,homeless, intermediate,high
